provider,dimension,n,spearman,spearman_p,spearman_lo,spearman_hi,pearson,pearson_p,pearson_lo,pearson_hi
anthropic,Structure,8,0.16050605945555832,0.7041799266563076,-0.587281209409072,0.7480018452375023,0.121470432229251,0.7744734027739582,-0.4595970223697568,0.6876018952747223
anthropic,Precision,8,-0.12757297666876868,0.7633832884594558,-0.8054619395348863,0.7559289460184545,-0.3607224846873761,0.3800268477436365,-0.8775666217534591,0.7504787743864563
anthropic,Understandability,8,0.06757373783994858,0.8736844080516705,-0.5918265821057183,0.6666666666666665,0.07161148740394328,0.8661868028860993,-0.5452468973536325,0.5774570376394706
anthropic,Objectivity,8,0.37820512820512825,0.35558623930887373,-0.6213140595135392,0.9792364931869324,0.460596773633517,0.250751361638316,-0.49737135996111764,0.9099994880452819
anthropic,Usefulness,8,-0.14649978703543606,0.7292178511232769,-0.8333333333333333,0.615815600437923,-0.21357442517239572,0.6115588026310514,-0.78506051994081,0.6019292654288461
anthropic,Language,8,-0.225,0.5921470373535157,-0.9172160579609908,0.7066880770428835,-0.1289386465354937,0.7609062078122821,-0.8919017444789032,0.7354364143083097
anthropic,Factual Accuracy,8,0.3379336577012953,0.4129613863366001,-0.5999999999999999,0.9999999999999998,0.3386557410091201,0.4118996387340688,-0.48795003647426666,0.9650372723566759
deepseek,Structure,8,0.3425133612081153,0.40624732191900825,-0.42611733878658953,0.8986581003932866,0.3015398711254008,0.4679502421998239,-0.36891858237733377,0.9153089862510082
deepseek,Precision,8,0.09788002281473555,0.8176437625274797,-0.7453559924999299,0.816496580927726,-0.14285714285714285,0.735764859879812,-0.7745966692414834,0.8563488385776755
deepseek,Understandability,8,0.30228886938926935,0.46679022538417053,-0.5399492471560389,0.810884854079383,0.3162277660168379,0.4454155553479704,-0.3394221166510652,0.74535599249993
deepseek,Objectivity,8,0.23191525528520265,0.5804991767055638,-0.7905306262299985,0.9428090415820632,0.1601281538050872,0.7048525449095583,-0.7099399855793211,0.8973834549063099
deepseek,Usefulness,8,0.17541160386140583,0.6777875665993163,-0.5714285714285714,0.7844645405527362,0.20000000000000007,0.6348799999999997,-0.556170056711265,0.7745966692414834
deepseek,Language,8,-0.15389675281277312,0.7159673696700108,-0.8422037891602443,0.6739663496121013,-0.10952216231963141,0.7962821984434105,-0.8018113639248283,0.6879468672403639
deepseek,Factual Accuracy,8,0.28492445649324893,0.49397587246607927,-0.6192620188488724,0.9591836734693876,0.1780876479601745,0.6730785952429258,-0.5348281873006976,0.9460717237434819
gemini,Structure,8,0.19879227818817052,0.6369679915385356,-0.6842755310691927,0.8590670641266969,0.1525321019784579,0.7184073690710232,-0.5733185465847415,0.7748348883882001
gemini,Precision,8,-0.17831687187954706,0.6726756641419286,-0.8407977378737286,0.6900655593423541,-0.3260198292646311,0.4306470098785549,-0.8366947766970084,0.7171179030272149
gemini,Understandability,8,-0.34483578691765326,0.40286067878792187,-0.8131249357707346,0.36111111111111105,-0.18257418583505539,0.6652045867249673,-0.8432529603042139,0.33781587166073435
gemini,Objectivity,8,-0.007132674875181882,0.9866266881961074,-0.7454720926874316,0.816496580927726,0.0793650793650793,0.8518141779065869,-0.7010087273623804,0.8783100656536796
gemini,Usefulness,8,0.2101953466160604,0.6173384431529813,-0.5726707638074805,0.7721310485044601,0.19675374978236415,0.6404970701653228,-0.5404843379498285,0.8001422326788122
gemini,Language,8,-0.5899375524489637,0.12371385421440717,-0.9792364931869324,0.17429786813223805,-0.5628100683580827,0.14639653688933782,-0.9647672577406391,0.1546278491062187
gemini,Factual Accuracy,8,-0.05370216135410548,0.8995018710353081,-0.8172903849660028,0.6855106213838522,-0.036027206490331934,0.9325074173934954,-0.7851682083039098,0.7262411172176586
